Órgão,Início,Término,Ciclo,Atividade,Dica,Municípios,Participação,ID,VTR,Viatura,KM
"REDEC 5 - SUL I","2019-09-26 10:30:00","2019-09-26 11:40:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Resende,participante,34,Sim,"ARDC - 018",70
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-27 00:00:00","2019-09-27 00:00:00","Mitigação de Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP",Magé,promotor,33,Sim,"ARDC - 012",142
"REDEC 2 - BAIXADA FLUMINENSE","2019-09-29 10:00:00","2019-09-29 10:00:00","Preparação para Emergências e Desastres","Exercício Simulado","O registro é do órgão que promove a atividade e dos órgãos que participam","Nova Iguaçu",participante,35,Sim,"ARDC - 012",94
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-07 10:00:00","2019-10-07 12:00:00","Prevenção de Riscos e Desastres",Representação,"Participação em eventos e solenidades em nome do órgão","Nova Iguaçu, São João de Meriti",participante,46,Sim,"ARDC - 012",20
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-08 08:00:00","2019-10-08 12:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Duque de Caxias, Magé, Queimados, São João de Meriti",promotor,47,Sim,"ARDC - 012",57
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-09 10:00:00","2019-10-09 12:00:00","Prevenção de Riscos e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,48,Sim,"ARDC - 012",106
"REDEC 5 - SUL I","2019-10-09 14:00:00","2019-10-09 15:30:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Barra do Piraí, Barra Mansa",promotor,43,Sim,"ARDC - 018",90
"REDEC 8 - SERRANA II","2019-10-10 08:00:00","2019-10-10 14:00:00","Prevenção de Riscos e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Bom Jardim",participante,139,Sim,"ARDC - 013",80
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-11 00:00:00","2019-10-11 00:00:00","Mitigação de Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Duque de Caxias",promotor,49,Sim,"ARDC - 012",1
"REDEC 8 - SERRANA II","2019-10-11 08:00:00","2019-10-11 17:00:00","Prevenção de Riscos e Desastres",Representação,"Participação em eventos e solenidades em nome do órgão",Petrópolis,participante,140,Sim,"ARDC - 013",120
